1, Test Method 'GuiTests.BaTest.Validate_data_in_home_page' failed. Please investigate and open a new Issue if needed.
2, Test Method 'GuiTests.BaTest.AfterMethod' failed. Please investigate and open a new Issue if needed.
3, Test Method 'GuiTests.EgTest.Validate_data_in_home_page' failed. Please investigate and open a new Issue if needed.
4, Test Method 'GuiTests.KuTest.Validate_data_in_home_page' failed. Please investigate and open a new Issue if needed.
5, Test Method 'GuiTests.KuTest.AfterMethod' failed. Please investigate and open a new Issue if needed.
6, Test Method 'GuiTests.SaTest.Validate_data_in_home_page' failed. Please investigate and open a new Issue if needed.
7, Test Method 'GuiTests.SaTest.AfterMethod' failed. Please investigate and open a new Issue if needed.
